"lwage","educ","exper","expersq","black","south","smsa","nearc4","nearc2"
6.30627536773682,7,16,256,1,0,1,0,0
6.17586708068848,12,9,81,0,0,1,0,0
6.5806393623352,12,16,256,0,0,1,0,0
5.52146100997925,11,10,100,0,0,1,1,1
6.59167385101318,12,16,256,0,0,1,1,1
6.21460819244385,12,8,64,0,0,1,1,1
6.33682584762573,18,9,81,0,0,1,1,1
6.41017484664917,14,9,81,0,0,1,1,1
6.05208921432495,12,10,100,0,0,1,1,1
6.2441668510437,12,11,121,0,0,1,1,1
5.41610050201416,9,13,169,0,0,1,1,1
5.99146461486816,12,8,64,0,0,1,1,1
6.03308629989624,11,7,49,0,0,1,1,1
5.37989711761475,11,13,169,0,0,1,1,1
6.79570579528809,16,9,81,1,0,1,1,1
5.70378255844116,14,4,16,0,0,1,1,1
5.84643888473511,12,16,256,0,0,1,1,1
6.48920488357544,14,9,81,0,0,1,1,1
6.3543701171875,10,10,100,0,0,1,1,1
6.47543287277222,12,14,196,0,0,1,1,1
6.85012626647949,18,8,64,0,1,1,1,1
6.4199948310852,18,10,100,0,0,1,1,1
6.58755016326904,15,11,121,0,0,0,1,1
6.40357398986816,12,10,100,0,0,1,1,0
6.54102993011475,12,14,196,0,0,1,1,0
7.24422740936279,18,10,100,0,0,0,1,0
5.70378255844116,12,8,64,0,0,1,1,0
7.49554204940796,18,8,64,0,0,1,1,0
6.02344751358032,12,7,49,0,0,1,1,0
6.44888925552368,14,9,81,0,0,0,1,0
5.33753824234009,12,7,49,0,0,1,1,1
6.12468338012695,12,7,49,1,0,1,1,1
6.71417045593262,16,2,4,0,0,1,1,1
6.35784244537354,18,10,100,0,0,1,1,1
5.54126358032227,11,11,121,0,0,1,1,1
6.86901426315308,16,8,64,0,0,1,1,1
6.85012626647949,10,15,225,0,0,1,1,1
7.04403305053711,18,10,100,0,0,1,1,1
5.78074359893799,6,15,225,0,0,1,1,1
5.45958566665649,11,7,49,1,0,1,1,1
6.90775537490845,12,16,256,0,0,1,1,1
6.17586708068848,9,11,121,0,0,1,1,1
6.43615055084229,15,11,121,0,0,1,1,1
6.47697257995605,11,17,289,0,0,1,1,1
5.84064149856567,12,6,36,1,0,1,1,1
5.94017124176025,16,2,4,0,1,1,1,1
5.86646795272827,12,6,36,0,0,1,1,1
6.49072360992432,13,6,36,0,0,1,1,1
6.43133115768433,17,5,25,0,0,1,1,1
6.0867748260498,12,7,49,0,0,1,1,1
6.60394382476807,12,8,64,1,0,1,1,1
5.63478946685791,11,14,196,1,1,0,1,1
6.07304430007935,10,8,64,0,0,1,1,1
6.55819797515869,12,9,81,0,0,1,1,1
6.05208921432495,12,9,81,0,0,1,1,1
6.34738922119141,12,6,36,0,0,1,1,1
6.28785848617554,16,8,64,0,0,1,1,1
6.60665035247803,16,10,100,0,0,1,1,1
6.51174545288086,13,13,169,0,0,1,1,1
6.64509105682373,12,16,256,0,0,1,1,1
6.38350677490234,12,6,36,0,0,1,1,1
5.36129236221313,9,9,81,1,0,1,1,1
7.35436248779297,16,12,144,0,0,1,1,1
6.65157175064087,16,6,36,0,0,1,1,1
6.39692974090576,12,8,64,0,1,1,1,1
6.54102993011475,18,0,0,0,0,1,1,1
6.34563636779785,13,12,144,0,0,1,1,1
